sel      dbg_busn        group           output_bit
0        0               0               18
0        1               0               25
0        2               0               31
0        3               0               27
0        4               0               22
0        5               0               19
0        6               0               24
0        7               0               26
0        8               0               16
0        9               0               17
1        10              1               0
1        11              1               1
1        12              1               2
1        13              1               3
1        14              1               4
1        15              1               5
0        16              0               20
0        17              0               23
1        18              1               6
1        19              1               7
0        20              0               30
0        21              0               21
1        22              1               8
1        23              1               9
1        24              1               10
1        25              1               11
1        26              1               12
1        27              1               13
0        28              0               28
0        29              0               29
1        30              1               14
1        31              1               15
